place_id,name,address,lat,lng,rating,review_count,business_status,types,search_term,city,keep
ChIJ1WOAkGQ_NoYRLsd0UKwg3ZU,Air U Trampoline Park (Purchased by Gym U),"4300 US-259, Longview, TX 75605, USA",32.5709525,-94.7336406,4.4,548,OPERATIONAL,"amusement_center, point_of_interest, establishment",trampoline park Texas,Longview,TRUE
ChIJo14qAZnLSYYRlYxvMMddm88,iJump Tyler Trampoline Park,"2029 Capital Drive, Tyler, TX 75701, USA",32.2975452,-95.328111,4.5,985,OPERATIONAL,"summer_camp_organizer, playground, amusement_center, point_of_interest, establishment",trampoline park Texas,Tyler,TRUE
ChIJHSII4d3NSYYRl6568PJp5BM,Urban Air Trampoline and Adventure Park,"8958 S Broadway Ave, Tyler, TX 75703, USA",32.248334899999996,-95.3028,4.5,1108,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",trampoline park Texas,Tyler,TRUE
ChIJdZfXSXWdQIYR_GA98m0J_IQ,Altitude Trampoline Park,"20810 Gulf Fwy, Webster, TX 77598, USA",29.5236787,-95.1292647,4.9,1558,OPERATIONAL,"amusement_center, point_of_interest, establishment",trampoline park Texas,Webster,TRUE
ChIJUTVc0rSdQIYRqD3xDYmUU8M,Cosmic Air Adventure Park & Arcade,"19801 Gulf Fwy ste 800, Webster, TX 77598, USA",29.538907899999998,-95.1357959,4.9,1157,OPERATIONAL,"amusement_center, point_of_interest, establishment",trampoline park Texas,Webster,TRUE
ChIJLVMNLL7XTYYRcIR5HbiL5Uc,Ninja Kidz Trampoline Park,"8800 N Tarrant Pkwy suite #200, North Richland Hills, TX 76182, USA",32.9026338,-97.1970439,5,17901,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",trampoline park Texas,North Richland Hills,TRUE
ChIJ2f8JamW1QIYRMopGE5ctjAo,Big Air Trampoline & Adventure Park,"3040 Farm to Market 1960 Rd E Suite 300, Houston, TX 77073, USA",30.0194026,-95.3817806,4.7,685,OPERATIONAL,"amusement_center, point_of_interest, establishment",trampoline park Texas,Houston,TRUE
ChIJ8_mC1KezQIYRZbvvsafxzTo,Cosmic Air Adventure Park & Arcade,"256 Farm to Market 1960 Bypass Rd E, Humble, TX 77338, USA",30.0037004,-95.2641396,4.7,1826,OPERATIONAL,"amusement_park, adventure_sports_center, video_arcade, playground, sports_complex, sports_activity_location, event_venue, point_of_interest, establishment",trampoline park Texas,Humble,TRUE
ChIJRf18RXt-P4YRgS7nTTtFiMA,Altitude Trampoline Park,"10000 Emmett F Lowry Expy, Texas City, TX 77591, USA",29.406368299999997,-95.0253805,4.4,557,OPERATIONAL,"amusement_center, point_of_interest, establishment",trampoline park Texas,Texas City,TRUE
ChIJvfqraL6NToYR3VXtqdBts3o,Altitude Trampoline Park Cedar Hill,"112 W Belt Line Rd #2, Cedar Hill, TX 75104, USA",32.5882705,-96.9439668,4,1456,OPERATIONAL,"amusement_center, amusement_park, tourist_attraction, point_of_interest, establishment",trampoline park Texas,Cedar Hill,TRUE
